epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,166.804,1.4896,1.48849,0.00441,0.70181,0.577,0.64416,0.38008,1.28991,0.87137,0.00704,0.00997625,0.00332542,0.00997625,0.00332542,0.0767221,0.0700713,0.00997625,0.00332542
2,308.422,1.39745,0.95318,0.00406,0.77071,0.61243,0.70644,0.4317,1.26816,0.82555,0.00709,0.0197785,0.00659283,0.0197785,0.00659283,0.053191,0.0400053,0.0197785,0.00659283
3,445.242,1.40882,0.94239,0.00412,0.77909,0.57139,0.68048,0.39619,1.27804,0.83691,0.00728,0.0293827,0.00979424,0.0293827,0.00979424,0.0294619,0.00987342,0.0293827,0.00979424
4,578.559,1.4021,0.92499,0.00414,0.81355,0.58057,0.69838,0.42643,1.26772,0.80659,0.00733,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,711.773,1.36279,0.88194,0.00402,0.76049,0.63124,0.71511,0.4438,1.20355,0.7663,0.0068,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,845.121,1.33172,0.84004,0.00382,0.79223,0.6251,0.71907,0.45219,1.17133,0.72317,0.0066,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,978.512,1.29892,0.80467,0.00374,0.77116,0.695,0.76211,0.47802,1.13241,0.69178,0.00631,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1110.63,1.2694,0.76571,0.00362,0.73297,0.69416,0.73962,0.4689,1.14846,0.67871,0.00639,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1242.1,1.24578,0.74866,0.00357,0.82955,0.69357,0.79169,0.51136,1.09728,0.62093,0.00614,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1373.64,1.2351,0.72411,0.00349,0.81813,0.703,0.79132,0.50514,1.07826,0.60758,0.00591,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1505.39,1.21828,0.71936,0.00342,0.81144,0.70195,0.79325,0.50993,1.086,0.61576,0.00599,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1636.94,1.19288,0.689,0.00335,0.81798,0.72491,0.80346,0.5256,1.04258,0.59141,0.00578,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1768.96,1.1815,0.67587,0.00327,0.85506,0.73414,0.82589,0.53313,1.02353,0.58022,0.00552,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1900.55,1.16913,0.66541,0.00324,0.83666,0.71841,0.81095,0.53489,1.01931,0.56876,0.00559,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
